Political party,Left or right,Liberal or conservative,Coalition or opposition,Seats in parliament,Represents non-Estonians,
Estonian Free Party,Right,Liberal,Opposition,8,,
Estonian Reform Party,Right,Liberal,Coalition,30,,E
Estonian Greens,,Liberal,,,,
Pro Patria and Res Publica Union,Right,Conservative,Coalition,14,,
Social Democratic Party,Left,Liberal,Coalition,15,,
Ãœksik.,,,,,,Single candidates
Conservative People's Party of Estonia,,Conservative,Opposition,7,,
Party of People's Unity,,,,,,
Estonian Independence Party,,,,,,
Estonian Centre Party,Left,Liberal,Opposition,27,Minority,
Estonian United Left Party,Left,,,,Minority,